Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
,,ND,,,Sample Only,,P0DOY3
P02649,41.0,ND,Apolipoprotein E,10.61,Both,Low,P02649
P01024,4.0,ND,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,11.81,Both,Low,P01024
,,ND,,,Sample Only,,Q8IXM2
,,ND,,,Sample Only,,Q8N7K0
P01008,23.0,ND,Antithrombin-III,11.1,Both,Low,P01008
P01023,2.0,ND,Alpha-2-macroglobulin,11.92,Both,Low,P01023
P02652,22.0,ND,Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II,11.1,Both,Low,P02652
P04114,3.0,ND,Apolipoprotein B-100;Apolipoprotein B-48,11.83,Both,Low,P04114
P02787,7.0,ND,Serotransferrin,11.7,Both,Low,P02787
P19823,25.0,ND,Inter-alpha-trypsin inhibitor heavy chain H2,11.0,Both,Low,P19823
P02679,11.0,ND,Fibrinogen gamma chain,11.36,Both,Low,P02679
,,ND,,,Sample Only,,P82094
P02766,17.0,ND,Transthyretin,11.14,Both,Low,P02766
,,ND,,,Sample Only,,Q9H400
,,ND,,,Sample Only,,O14908
,,ND,,,Sample Only,,Q50LG9
,,ND,,,Sample Only,,Q8IYE1
,,ND,,,Sample Only,,O00160
P60709,98.0,ND,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",9.82,Both,Low,P60709
P01011,21.0,ND,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,11.11,Both,Low,P01011
P02768,0.0,ND,Serum albumin,12.38,Both,Low,P02768
,,ND,,,Sample Only,,P01889
,,ND,,,Sample Only,,CON__P02769
P02656,40.0,ND,Apolipoprotein C-III,10.62,Both,Low,P02656
,,ND,,,Sample Only,,Q9Y5K3
P00738,18.0,ND,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,11.14,Both,Low,P00738
P02671,8.0,ND,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,11.57,Both,Low,P02671
P02675,10.0,ND,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,11.42,Both,Low,P02675
P62805,164.0,ND,Histone H4,9.16,Both,Low,P62805
,,ND,,,Sample Only,,P80297
,,ND,,,Sample Only,,Q9ULV5
P01834,12.0,ND,Ig kappa chain C region,11.27,Both,Low,P01834
P01009,5.0,ND,Alpha-1-antitrypsin;Short peptide from AAT,11.79,Both,Low,P01009
Q9H3R0,346.0,ND,Lysine-specific demethylase 4C,8.2,Both,Mid,Q9H3R0
,,ND,,,Sample Only,,Q9BZQ2
P0DJI8,182.0,ND,Serum amyloid A-1 protein;Amyloid protein A;Serum amyloid protein A(2-104);Serum amyloid protein A(3-104);Serum amyloid protein A(2-103);Serum amyloid protein A(2-102);Serum amyloid protein A(4-101);Serum amyloid A protein,9.04,Both,Low,P0DJI8
P00450,13.0,ND,Ceruloplasmin,11.2,Both,Low,P00450
,,ND,,,Sample Only,,O95239
P01857,6.0,ND,Ig gamma-1 chain C region,11.73,Both,Low,P01857
,,ND,,,Sample Only,,Q03001
,,ND,,,Sample Only,,Q9UPT6
,,ND,,,Sample Only,,P20933
,,ND,,,Sample Only,,Q92995
,,ND,,,Sample Only,,A0A0B4J1U3
,,ND,,,Sample Only,,Q9BVI4
,,ND,,,Sample Only,,Q3L8U1
,,ND,,,Sample Only,,Q8N3A8
,,ND,,,Sample Only,,Q6PGP7
P0C0L5,885.0,ND,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain;Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,6.62,Both,Ultra Deep,P0C0L5
,,ND,,,Sample Only,,Q9BWH6
P06733,157.0,ND,Alpha-enolase,9.21,Both,Low,P06733
,,ND,,,Sample Only,,P57057
P07900,245.0,ND,Heat shock protein HSP 90-alpha,8.69,Both,Mid,P07900
,,ND,,,Sample Only,,P43243
,,ND,,,Sample Only,,Q16832
P08697,36.0,ND,Alpha-2-antiplasmin,10.69,Both,Low,P08697
,,ND,,,Sample Only,,P33240
P02743,56.0,ND,Serum amyloid P-component;Serum amyloid P-component(1-203),10.42,Both,Low,P02743
,,ND,,,Sample Only,,P34931
,,ND,,,Sample Only,,Q7L8A9
,,ND,,,Sample Only,,Q9Y5E9
,,ND,,,Sample Only,,Q8TD31
,,ND,,,Sample Only,,Q9HA92
P02647,1.0,ND,Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,11.98,Both,Low,P02647
,,ND,,,Sample Only,,CON__P00761
,,ND,,,Sample Only,,A0A0A0MRZ8
,,ND,,,Sample Only,,Q96DB5
,,ND,,,Sample Only,,Q9C0C7
,,ND,,,Sample Only,,P13807
O14791,68.0,ND,Apolipoprotein L1,10.23,Both,Low,O14791
,,ND,,,Sample Only,,Q8NEP3
