Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
"10 kDa heat shock protein, mitochondrial",HSPE1,P61604;B8ZZL8,8.36,36.3,4,,,,,3.81,0.000
116 kDa U5 small nuclear ribonucleoprotein component,EFTUD2,Q15029;B4DK30,6.73,0.8,1,,,,,3.69,0.005
"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,P31946;P31946-2,7.28,29.3,7,,,,,5.26,0.000
14-3-3 protein epsilon,YWHAE,P62258;P62258-2,7.59,27.5,7,,,,,5.26,0.000
14-3-3 protein eta,YWHAH,Q04917,6.72,12.6,3,,,,,5.26,0.001
"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",YWHAG,P61981;B4DE78;B4DHC4,7.55,24.3,6,,,,,5.26,0.000
14-3-3 protein sigma,SFN,P31947;P31947-2,7.66,18.1,5,,,,,5.26,0.000
14-3-3 protein theta,YWHAQ,P27348;E9PG15;B4DMT8,7.39,21.2,5,,,,,5.26,0.000
14-3-3 protein zeta/delta,YWHAZ,P63104;E7EX29;B0AZS6;E7EX24;B7Z2E6;H0YB80,8.40,33.5,7,,,,,5.26,0.000
26S proteasome non-ATPase regulatory subunit 11,PSMD11,O00231,NaN,2.6,1,,,,,NaN,0.000
26S proteasome non-ATPase regulatory subunit 12,PSMD12,O00232;O00232-2,6.97,4.4,2,,,,,NaN,0.000
26S proteasome non-ATPase regulatory subunit 14,PSMD14,O00487,6.77,3.9,1,,,,,NaN,0.000
26S proteasome non-ATPase regulatory subunit 2,PSMD2,Q13200;F5GZ16;H7C2Q3;C9JPC0,7.03,2.2,2,,,,,NaN,0.000
3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,Q99714;Q99714-2;Q5H928,6.97,13.4,2,,,,,3.79,0.002
"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,P42765,7.06,2.8,1,,,,,4.41,0.000
40S ribosomal protein S10;Putative 40S ribosomal protein S10-like,RPS10;RPS10P5,P46783;F6U211;Q9NQ39,NaN,4.2,1,,,,,3.23,0.000
40S ribosomal protein S12,RPS12,P25398,7.53,24.2,2,,,,,3.92,0.000
40S ribosomal protein S13,RPS13,P62277;E9PS50,6.15,15.9,2,,,,,NaN,0.000
40S ribosomal protein S14,RPS14,P62263;H0YB22;E5RH77,7.97,15.9,2,,,,,3.68,0.000
40S ribosomal protein S15,RPS15,P62841,8.40,9.0,1,,,,,NaN,0.000
40S ribosomal protein S16,RPS16,P62249;Q6IPX4,6.93,7.5,1,,,,,NaN,0.002
40S ribosomal protein S18,RPS18,P62269,7.69,32.2,5,,,,,3.23,0.000
40S ribosomal protein S19,RPS19,P39019,7.86,19.3,3,,,,,3.72,0.000
40S ribosomal protein S2,RPS2,P15880;H0YEN5;I3L404;E9PM36;E9PMM9;E9PQD7,7.06,3.8,1,,,,,3.53,0.000
40S ribosomal protein S20,RPS20,P60866;P60866-2;E5RIP1;E5RJX2;G3XAN0,NaN,9.2,1,,,,,3.46,0.000
40S ribosomal protein S23,RPS23,P62266;D6RDJ2;D6RIX0;D6R9I7;D6RD47,7.35,15.4,2,,,,,3.75,0.002
40S ribosomal protein S24,RPS24,P62847;E7ETK0;P62847-2;P62847-3;E7EPK6,6.78,11.3,1,,,,,NaN,0.000
40S ribosomal protein S25,RPS25,P62851,7.52,15.2,2,,,,,3.70,0.001
40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1,RPS26;RPS26P11,P62854;Q5JNZ5;F8VZW7,7.74,17.4,2,,,,,NaN,0.000
40S ribosomal protein S27;40S ribosomal protein S27-like,RPS27;RPS27L,P42677;Q71UM5;C9J1C5;Q5T4L4;H0YMV8,7.38,22.6,2,,,,,NaN,0.000
40S ribosomal protein S28,RPS28,P62857,7.38,30.4,2,,,,,4.23,0.000
40S ribosomal protein S3a,RPS3A,P61247;D6RG13;H0Y9Y4;D6RAT0;D6R9B6;D6RB09;F5H4F9;H0Y8L7;E9PFI5,8.55,23.1,6,,,,,NaN,0.000
"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",RPS4X;RPS4Y1,P62701;P22090;C9JEH7,7.43,9.9,3,,,,,NaN,0.000
40S ribosomal protein S6,RPS6,P62753;A2A3R7;A2A3R5,8.59,11.6,3,,,,,NaN,0.000
40S ribosomal protein S7,RPS7,P62081;B5MCP9,7.67,15.5,2,,,,,NaN,0.000
40S ribosomal protein S8,RPS8,P62241;Q5JR95,7.83,18.8,3,,,,,NaN,0.000
40S ribosomal protein S9,RPS9,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,7.90,9.3,2,,,,,NaN,0.000
40S ribosomal protein SA,RPSA;RPSAP58,P08865;C9J9K3;A6NE09,7.60,10.2,2,,,,,3.41,0.000
4F2 cell-surface antigen heavy chain,SLC3A2,P08195;P08195-3;B4E2Z3;F5GZS6;P08195-2;P08195-4,8.50,22.4,10,,,,,4.08,0.000
4-hydroxyphenylpyruvate dioxygenase,HPD,P32754;H0YF74;B3KQ63,7.85,9.2,3,,,,,4.11,0.000
"60 kDa heat shock protein, mitochondrial",HSPD1,P10809,8.86,38.0,20,,,,,3.71,0.000
60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,P05388;F8VS58;F8VQY6;F8VRK7;G3V210;F8VZS0;F8VU65;F8VWS0;Q3B7A4;Q8NHW5;F8VWV4;F8VPE8;F8VW21,NaN,3.5,1,,,,,NaN,0.000
60S acidic ribosomal protein P2,RPLP2,P05387;H0YDD8,8.04,31.3,3,,,,,NaN,0.000
60S ribosomal protein L10;60S ribosomal protein L10-like,RPL10;RPL10L,P27635;H7C123;H7C2C5;F8W7C6;Q96L21,7.84,18.7,4,,,,,NaN,0.000
60S ribosomal protein L10a,RPL10A,P62906,7.33,15.2,3,,,,,NaN,0.000
60S ribosomal protein L11,RPL11,P62913;Q5VVC8;P62913-2;Q5VVC9,7.10,12.4,2,,,,,3.53,0.000
60S ribosomal protein L12,RPL12,P30050;P30050-2,7.70,26.1,3,,,,,3.28,0.000
60S ribosomal protein L13,RPL13,P26373;F5H1S2,7.81,29.4,6,,,,,NaN,0.000
60S ribosomal protein L14,RPL14,P50914;E7EPB3;B7Z6S8,7.45,5.6,1,,,,,NaN,0.000
60S ribosomal protein L15;Ribosomal protein L15,RPL15,P61313;E7EX53;E7EQV9;Q642I1,7.32,13.7,3,,,,,NaN,0.000
60S ribosomal protein L17,RPL17,P18621;B4E3C2,7.14,19.0,3,,,,,NaN,0.000
60S ribosomal protein L18,RPL18,Q07020;F8VYV2;E7EW92;G3V203;F8VUA6;H0YHA7;F8VWC5,7.67,12.2,2,,,,,NaN,0.000
60S ribosomal protein L18a,RPL18A,Q02543;B4DM74,6.65,10.2,2,,,,,NaN,0.008
60S ribosomal protein L19,RPL19,P84098,7.65,4.6,1,,,,,NaN,0.000
60S ribosomal protein L21,RPL21,P46778;G3V1B3,6.51,9.4,1,,,,,NaN,0.001
60S ribosomal protein L23a,RPL23A,P62750;H7BY10;A8MXA8;A8MUS3,7.29,14.7,2,,,,,NaN,0.000
60S ribosomal protein L26;60S ribosomal protein L26-like 1,RPL26;RPL26L1,P61254;Q9UNX3;E5RIT6,7.58,23.4,4,,,,,NaN,0.000
60S ribosomal protein L27a,RPL27A,P46776;E9PLL6;E9PJD9;E9PLX7,6.87,5.4,1,,,,,NaN,0.008
60S ribosomal protein L29,RPL29,P47914,7.46,9.4,1,,,,,NaN,0.000
60S ribosomal protein L3,RPL3,P39023;H7C422;G5E9G0;B5MCW2;H7C3M2,7.91,20.1,9,,,,,NaN,0.000
60S ribosomal protein L31,RPL31,P62899;P62899-3;P62899-2;B8ZZK4;H7C2W9;C9JU56;B7Z4E3;B7Z4C8,8.11,7.2,1,,,,,NaN,0.008
60S ribosomal protein L32,RPL32,P62910;D3YTB1;F8W727,7.89,21.5,3,,,,,NaN,0.000
60S ribosomal protein L35,RPL35,P42766;H0Y3A0;F2Z388,7.38,8.1,1,,,,,NaN,0.000
60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5,RPL39;RPL39P5,P62891;Q59GN2,6.65,19.6,1,,,,,NaN,0.000
60S ribosomal protein L4,RPL4,P36578;E7EWF1;H3BU31;B4DP82;H3BTP7;H3BM89,8.37,9.1,3,,,,,NaN,0.000
60S ribosomal protein L5,RPL5,P46777;B3KTM6,6.79,8.1,2,,,,,3.60,0.000
